id,ra,dec,label,label_source,quality_flag,notes
1,53.09301217,-27.954545657,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
15,53.099716454,-27.957265956,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
16,53.102331276,-27.956403616,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
17,53.091183618,-27.957127315,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
18,53.103550384,-27.95647946,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
19,53.090860808,-27.956420056,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
20,53.085594335,-27.956419574,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
21,53.104201804,-27.956583081,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
22,53.0905443,-27.956143617,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
23,53.084901888,-27.955856337,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
24,53.09528175,-27.956408815,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
25,53.093823468,-27.956355245,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
26,53.094480787,-27.956296806,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
27,53.086454757,-27.955936764,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
28,53.098331276,-27.95607469,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
29,53.095952694,-27.955054606,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
30,53.084945656,-27.955686974,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
31,53.088283917,-27.954264145,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
32,53.088781821,-27.955259363,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
33,53.088988434,-27.954453723,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
34,53.083732386,-27.954083127,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
35,53.089658265,-27.954342539,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
36,53.084005358,-27.954441096,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
37,53.103843531,-27.954008531,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
38,53.105935582,-27.9543205,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
39,53.090314612,-27.954089669,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
40,53.083227042,-27.951344635,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
41,53.087182661,-27.953925684,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
42,53.089970264,-27.953816065,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
43,53.102201657,-27.953550887,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
44,53.083618251,-27.952635482,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
45,53.082157733,-27.953669358,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
46,53.086978567,-27.953361614,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
47,53.10678238,-27.952421988,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
48,53.104483088,-27.953229911,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
49,53.099461008,-27.953502359,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
50,53.090624703,-27.953459414,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
51,53.086618002,-27.953034397,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
52,53.083130868,-27.953360633,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
53,53.099296198,-27.953165647,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
54,53.104645853,-27.953333129,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
55,53.104771395,-27.953177647,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
56,53.085254954,-27.952047799,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
57,53.093425358,-27.953119648,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
58,53.092691787,-27.953069231,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
59,53.102669672,-27.952889417,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
60,53.090891915,-27.952986355,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
61,53.090614554,-27.952431236,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
62,53.088034394,-27.952868636,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
63,53.094663181,-27.952864158,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
64,53.080018272,-27.952064418,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
65,53.082486912,-27.952694575,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
66,53.096337356,-27.952673911,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
67,53.079512109,-27.948759388,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
68,53.090548298,-27.950554895,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
69,53.087257053,-27.952280348,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
70,53.083548704,-27.952123654,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
71,53.09621085,-27.952166418,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
72,53.087717951,-27.952054253,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
73,53.105950791,-27.951660076,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
74,53.082431948,-27.952030071,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
75,53.101350903,-27.951916655,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
76,53.106170619,-27.95159525,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
77,53.09976236,-27.951757962,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
78,53.080236736,-27.951742416,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
79,53.081034457,-27.951600535,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
80,53.102809417,-27.951545431,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
81,53.104777704,-27.951455791,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
82,53.082563328,-27.951068551,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
83,53.09104966,-27.951337396,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
84,53.090135562,-27.951050226,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
85,53.097608947,-27.951147296,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
86,53.080100489,-27.951039756,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
87,53.07956144,-27.950289054,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
88,53.081741825,-27.950854611,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
89,53.089602936,-27.950769076,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
90,53.077663345,-27.949669184,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
91,53.104058666,-27.950577389,star,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
92,53.085118369,-27.948381993,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
93,53.090132055,-27.950530004,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
94,53.097212118,-27.950530207,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
95,53.080760197,-27.95047088,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
96,53.098682196,-27.950309551,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
97,53.100204571,-27.950303862,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
98,53.075111997,-27.950240169,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
99,53.079947547,-27.949310652,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
100,53.082998793,-27.950122178,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
101,53.09553448,-27.949733384,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
102,53.113451165,-27.947689494,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
103,53.098675695,-27.949838752,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
104,53.084280958,-27.94606446,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
105,53.074499301,-27.949560688,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
106,53.099532295,-27.94914751,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
107,53.092835549,-27.949616304,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
108,53.093047319,-27.94948272,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
109,53.103051092,-27.949465239,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
110,53.089668021,-27.949371385,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
111,53.083541272,-27.949407891,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
112,53.099951829,-27.949403849,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
113,53.099302386,-27.949325867,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
114,53.101780098,-27.949176464,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
115,53.072445412,-27.949279041,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
116,53.085787732,-27.949054046,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
117,53.087402966,-27.949151148,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
118,53.095626807,-27.949074375,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
119,53.088836613,-27.948915891,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
120,53.071017377,-27.947520965,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
121,53.076532756,-27.948995167,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
122,53.090045111,-27.948901922,galaxy,goodss_3dhst.v4.1.5.IR.cat,secure_hst_label,Used 3D-HST z_type: 0 -> star; 1/2/3 -> galaxy (spectroscopic/grism/photometric redshift source types); all other/missing values excluded.
